student_id,age,gender,academic_level,study_hours,self_study_hours,online_classes_hours,social_media_hours,gaming_hours,sleep_hours,screen_time_hours,exercise_minutes,caffeine_intake_mg,part_time_job,upcoming_deadline,internet_quality,mental_health_score,focus_index,burnout_level,productivity_score,exam_score
20,17,Other,Postgraduate,0.56,2.33,2.0,0.62,0.31,5.48,7.07,133,362,0,0,Poor,5,34.27,48.32,11.13,1.0
21,23,Male,Undergraduate,9.31,4.04,3.06,1.46,1.23,7.74,2.9,71,118,1,0,Good,10,60.72,31.88,91.52,64.09
22,19,Male,Undergraduate,4.5,2.2,2.14,1.24,0.0,4.42,10.82,134,179,1,0,Poor,2,19.46,62.09,20.88,1.0
23,18,Female,Postgraduate,4.79,1.45,1.71,1.96,1.78,7.41,7.04,87,203,0,0,Good,10,42.45,28.98,62.96,33.52
24,20,Male,High School,3.59,2.32,0.06,5.1,1.05,6.21,4.39,11,8,0,1,Poor,4,32.36,42.51,21.4,11.21
25,23,Male,Postgraduate,7.44,2.36,1.64,2.77,1.39,6.84,2.92,22,293,0,1,Good,6,39.78,43.72,61.0,33.03
26,18,Female,High School,5.77,2.02,1.1,3.9,1.54,6.98,8.58,57,160,1,0,Good,4,21.89,33.8,42.44,16.33
27,20,Female,Postgraduate,4.64,2.85,1.53,2.19,2.27,5.9,3.66,33,151,0,0,Average,8,32.09,30.49,55.72,30.57
28,24,Male,Undergraduate,7.3,2.05,3.02,5.01,0.16,7.51,10.48,51,182,0,0,Average,1,25.67,29.0,42.33,18.07
29,16,Female,Postgraduate,3.59,4.07,2.85,2.57,2.47,7.7,5.91,101,214,0,1,Good,5,23.79,33.22,34.11,14.7
30,23,Female,High School,3.54,2.39,2.67,5.24,1.22,5.91,4.89,38,325,1,0,Good,6,16.61,40.95,29.44,10.73
31,25,Male,High School,3.95,2.45,2.53,3.97,0.72,5.9,6.69,139,4,0,1,Average,9,31.41,52.4,52.7,23.19
32,19,Male,Postgraduate,5.52,2.41,0.0,3.91,0.26,8.16,11.43,95,306,1,1,Good,6,22.79,69.0,37.09,10.49
33,20,Male,Postgraduate,4.68,2.18,2.65,2.85,0.54,6.49,6.03,12,235,1,0,Poor,1,25.48,44.61,19.89,11.53
34,22,Male,Postgraduate,0.0,1.22,2.26,7.11,2.18,8.33,8.44,118,327,0,0,Average,6,7.26,20.37,3.39,1.0
35,17,Other,Undergraduate,3.29,3.88,1.99,5.21,0.0,10.0,9.47,22,262,0,1,Poor,9,30.52,40.36,48.19,24.3
36,21,Male,High School,2.6,2.99,2.43,2.71,2.53,4.7,3.65,113,85,1,0,Poor,8,24.24,38.06,37.5,22.18
37,22,Other,Undergraduate,4.14,1.13,2.7,1.8,2.53,6.08,10.81,81,184,0,0,Poor,5,24.77,48.89,29.46,11.46
38,18,Female,Undergraduate,5.94,0.47,3.15,2.45,2.62,6.74,6.18,119,395,1,1,Average,10,36.67,67.15,54.7,29.22
39,17,Other,Undergraduate,3.29,3.92,1.06,3.61,0.46,7.31,3.56,106,326,0,1,Average,10,42.07,45.48,50.25,31.39
40,24,Other,Postgraduate,3.58,4.91,2.06,4.25,0.0,6.92,6.73,67,25,1,1,Average,8,25.83,51.44,35.68,23.11
41,19,Other,Postgraduate,4.06,3.41,2.46,1.9,0.79,6.52,4.91,127,179,0,0,Average,8,45.88,27.33,45.83,39.8
42,21,Other,Postgraduate,0.53,2.89,1.89,1.52,3.52,7.47,8.45,2,346,1,1,Poor,4,12.74,52.2,1.0,1.0
43,16,Other,High School,2.12,0.61,2.16,1.95,1.66,6.57,5.02,131,114,0,0,Poor,3,14.39,22.39,25.29,18.54
44,18,Male,High School,2.59,2.33,2.86,2.13,1.55,7.18,8.42,33,168,0,1,Good,2,25.78,46.05,21.13,15.42
45,22,Male,High School,7.29,3.51,1.56,6.04,0.0,7.53,9.71,108,69,0,0,Average,3,28.74,30.2,49.56,14.43
46,18,Female,High School,7.24,2.22,1.6,3.7,2.39,5.93,6.58,139,50,1,0,Good,5,31.01,37.7,46.71,21.93
47,20,Female,Undergraduate,5.66,2.71,2.42,2.45,3.89,7.74,6.54,128,48,1,1,Average,3,27.49,43.1,29.45,7.95
48,20,Male,High School,4.73,0.71,2.8,4.93,2.1,6.68,5.94,141,166,0,1,Average,2,6.54,41.12,15.82,3.28
49,22,Other,High School,4.14,2.22,1.53,3.58,0.0,7.56,6.66,124,381,0,1,Good,3,22.55,49.82,23.31,16.47
50,19,Female,Undergraduate,6.14,2.62,2.25,2.36,0.0,7.07,6.6,68,14,1,0,Good,6,40.88,40.04,62.99,38.31
51,16,Other,Postgraduate,2.29,3.85,2.97,4.0,1.1,6.12,7.09,118,309,0,1,Average,6,26.45,48.16,13.75,4.33
52,22,Other,Undergraduate,6.8,1.4,4.26,5.88,0.0,6.73,7.25,131,247,1,0,Poor,2,23.45,30.69,45.1,26.65
53,20,Female,Undergraduate,2.86,3.1,1.29,1.94,1.53,6.36,6.79,67,93,1,1,Poor,4,28.87,64.48,18.61,15.41
54,23,Female,High School,4.56,0.0,2.18,6.37,2.51,5.95,11.87,105,173,1,0,Average,9,20.7,55.93,40.61,15.6
55,22,Female,Postgraduate,6.94,0.34,0.26,3.01,1.33,5.29,6.28,130,207,0,0,Average,3,29.18,37.44,42.93,26.02
56,23,Other,Undergraduate,2.1,1.94,1.29,0.0,0.58,5.78,7.18,105,273,0,1,Average,4,31.6,66.0,15.84,5.76
57,17,Other,Undergraduate,1.97,4.43,2.65,0.0,1.3,5.26,10.49,75,327,1,0,Poor,9,35.02,67.82,32.16,1.0
58,21,Male,High School,4.08,2.64,2.08,3.37,2.55,6.79,5.77,134,405,1,1,Good,10,42.23,61.42,48.76,23.74
